Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
62,23.710000000001962,-140.76508196721133,3330,0.09470426291227341,8.541437149047852,0.3934169876521345,0.375
63,-28.2900000000009,-138.11225806451432,2955,0.39165669679641724,6.614828109741211,0.38320039690642227,0.375
64,-13.410000000002071,-136.36904761904586,4352,0.048430006951093674,8.725896835327148,0.38287207490958475,0.125
65,-29.38999999999973,-134.44781249999826,3375,5.756376266479492,8.483932495117188,0.37428144845131117,0.5
66,16.29999999999965,-132.83153846153675,2926,0.08917306363582611,7.597412109375,0.36808786019274964,0.375
67,-8.940000000004243,-130.571969696968,4635,0.7694663405418396,9.790739059448242,0.36648414897637305,0.25
68,12.609999999998196,-128.7565671641775,4360,0.060277242213487625,8.937137603759766,0.36295811562706826,0.25
69,-2.5700000000014427,-126.67764705882198,3343,0.813310980796814,8.108341217041016,0.3599046318950915,0.375
70,34.18000000000064,-124.87898550724486,3133,0.898626983165741,10.093233108520508,0.3588567353585178,0.375
71,71.67999999999282,-122.6067142857128,3108,0.0835919976234436,7.455018997192383,0.349803538600145,0.25
72,-36.530000000000875,-119.87028169013948,3429,0.1290954053401947,6.88973331451416,0.34690280652162814,0.5
73,111.64000000000141,-118.71277777777647,2752,0.07667064666748047,5.324832916259766,0.33187414901164203,0.375
74,-3.0800000000008323,-115.55726027397128,4274,0.04536677896976471,6.584918022155762,0.33117956895562617,0.375
75,42.8099999999992,-114.03729729729599,2940,0.04543502256274223,7.815098285675049,0.3310686293901532,0.25
76,37.059999999999995,-111.94599999999872,3740,0.08324490487575531,9.15953254699707,0.32945679697950303,0.375
77,-51.19999999999763,-109.98539473684086,3581,0.02488182857632637,8.51359748840332,0.3278653224284227,0.375
78,23.359999999998436,-109.22194805194678,4160,0.03749484568834305,10.171340942382812,0.3269919974474026,0.375
79,-39.729999999999194,-107.52217948717825,3484,0.07996059954166412,6.445051670074463,0.31478440623418147,0.0
80,-17.10000000000136,-106.66405063291016,3821,0.08255927264690399,7.4536895751953125,0.31439814204502153,0.375
81,18.429999999999723,-105.54449999999879,2778,0.0742945671081543,5.86260461807251,0.306866728722154,0.25
82,55.899999999993305,-104.01395061728275,3186,0.08743361383676529,8.140026092529297,0.3041295340817306,0.0
83,103.34999999999133,-102.06378048780377,3316,1.0345089435577393,8.43436336517334,0.3009537462310471,0.375
84,86.71999999998864,-99.58891566264961,3749,0.08341331034898758,7.797230243682861,0.2988905678813153,0.375
85,146.80999999999702,-97.37095238095154,3915,0.1217871904373169,8.607765197753906,0.2948353344924216,0.375
86,151.66000000000196,-94.49823529411685,4405,0.8921602964401245,8.045430183410645,0.29032150302570603,0.375
87,-27.129999999999967,-91.63593023255733,3094,0.10606971383094788,9.169279098510742,0.28944045685948616,0.125
88,59.759999999993276,-90.89448275861989,3920,0.06683554500341415,7.982631206512451,0.2836138228716441,0.0
89,67.09999999999368,-89.18249999999931,3081,0.07095847278833389,7.438981056213379,0.28046101360298736,0.375
90,80.3999999999967,-87.42651685393197,3091,0.08245069533586502,7.860562801361084,0.277582406530767,0.5
91,82.66000000000906,-85.56177777777721,4380,0.781722366809845,8.967693328857422,0.2736210001166963,0.375
92,25.540000000000255,-83.71318681318616,2867,0.11496241390705109,6.84018611907959,0.26970043970754654,0.375
93,34.31999999999709,-82.52565217391239,3559,0.12476170063018799,10.293901443481445,0.26898243309287895,0.25
94,149.84000000000574,-81.26924731182734,4367,0.12299806624650955,8.728082656860352,0.26701351934875617,0.125
95,74.42999999999404,-78.81063829787168,3548,0.041321348398923874,9.0479736328125,0.264375716741044,0.25
96,82.77999999999693,-77.19757894736782,2773,0.09472750872373581,7.97975492477417,0.2589380912711645,0.125
97,5.100000000002007,-75.53114583333277,3641,0.12328828871250153,9.78190803527832,0.25872843139664636,0.125
98,73.30999999998738,-74.69989690721592,3210,0.9351003766059875,11.460434913635254,0.2587157336300521,0.25
99,32.72000000000027,-73.18959183673425,2964,0.32442402839660645,7.755832672119141,0.25072767975588567,0.375
100,75.14999999999277,-72.11979797979754,4326,0.07048770785331726,7.57305908203125,0.2460333124757688,0.375
